from_stop_id,from_stop_name,to_stop_id,to_stop_name,time_type,aggregated_mean,aggregated_sample_size,route_id,direction_id,route_mean,route_sample_size
9022005001268002,Stora Torget,9022005001243002,Kungsgatan,day,119.89,29825,9011005020600000,0,118.14,12357
9022005001315001,Solhaga,9022005000215001,Gamla Linköping,day,157.59,19786,9011005020300000,0,157.59,19786
9022005001338001,Alsättersgatan,9022005001341001,Hangaren,day,58.31,19777,9011005020300000,0,58.31,19777
9022005001339001,Björnkärrsskolan,9022005001338001,Alsättersgatan,day,56.02,19777,9011005020300000,0,56.02,19777
9022005001341001,Hangaren,9022005001343001,Mårdtorpsgatan,day,95.32,19780,9011005020300000,0,95.32,19780
9022005001343001,Mårdtorpsgatan,9022005000214001,Ryd centrum,day,86.0,23446,9011005020300000,0,84.25,19783
9022005001343001,Mårdtorpsgatan,9022005000214001,Ryd centrum,day,86.0,23446,9011005022600000,0,95.46,3663
9022005000214001,Ryd centrum,9022005001315001,Solhaga,night,118.98,18000,9011005020300000,0,119.09,17406
9022005000214001,Ryd centrum,9022005001315001,Solhaga,night,118.98,18000,9011005022600000,0,115.69,594
9022005000215001,Gamla Linköping,9022005001254001,Vallaplan,night,64.4,38290,9011005020300000,0,64.52,17409
9022005000215001,Gamla Linköping,9022005001254001,Vallaplan,night,64.4,38290,9011005020600000,0,62.86,15535
9022005000215001,Gamla Linköping,9022005001254001,Vallaplan,night,64.4,38290,9011005021200000,0,68.49,5346
9022005001243002,Kungsgatan,9022005000050005,Linköpings resecentrum,night,107.95,17107,9011005020300000,0,107.95,17107
9022005001253001,Parkgatan,9022005001259002,Barnhemsgatan,night,90.35,33242,9011005020300000,0,91.59,17414
9022005001253001,Parkgatan,9022005001259002,Barnhemsgatan,night,90.35,33242,9011005020600000,0,88.98,15548
9022005001253001,Parkgatan,9022005001259002,Barnhemsgatan,night,90.35,33242,9011005021200000,0,89.3,280
9022005001254001,Vallaplan,9022005001253001,Parkgatan,night,60.77,38303,9011005020300000,0,60.67,17410
9022005001254001,Vallaplan,9022005001253001,Parkgatan,night,60.77,38303,9011005020600000,0,58.81,15544
